Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10p","C_0603",52.276000,-40.748000,90.000000,top
"C2","10p","C_0603",58.776000,-40.498000,270.000000,top
"C3","1u","C_0603",50.026000,-33.248000,180.000000,top
"C4","1u","C_0603",58.776000,-26.748000,90.000000,top
"C5","100n","C_0603",63.026000,-36.998000,0.000000,top
"C6","100n","C_0603",50.526000,-30.248000,180.000000,top
"D0:7","D","D_SOD-123",188.780592,-139.800680,335.000000,top
"D0:8","D","D_SOD-123",164.276000,-123.498000,65.000000,top
"D0:9","D","D_SOD-123",178.276000,-155.498000,335.000000,top
"D0:10","D","D_SOD-123",131.276000,-139.498000,270.000000,top
"D0:11","D","D_SOD-123",126.276000,-139.498000,270.000000,top
"D0:12","D","D_SOD-123",121.276000,-139.498000,270.000000,top
"D1:7","D","D_SOD-123",178.276000,-137.498000,245.000000,top
"D1:8","D","D_SOD-123",161.578680,-128.993408,245.000000,top
"D1:9","D","D_SOD-123",126.276000,-127.498000,270.000000,top
"D1:10","D","D_SOD-123",107.276000,-128.348000,270.000000,top
"D1:11","D","D_SOD-123",88.276000,-129.998000,270.000000,top
"D1:12","D","D_SOD-123",68.276000,-132.498000,270.000000,top
"D1:13","D","D_SOD-123",50.276000,-130.848000,270.000000,top
"D2:7","D","D_SOD-123",159.276000,-93.498000,180.000000,top
"D2:8","D","D_SOD-123",145.276000,-102.498000,270.000000,top
"D2:9","D","D_SOD-123",120.276000,-117.498000,180.000000,top
"D2:10","D","D_SOD-123",101.926000,-116.498000,180.000000,top
"D2:11","D","D_SOD-123",81.626000,-117.498000,180.000000,top
"D2:12","D","D_SOD-123",62.276000,-121.498000,180.000000,top
"D2:13","D","D_SOD-123",40.276000,-120.498000,180.000000,top
"D3:8","D","D_SOD-123",139.276000,-100.498000,180.000000,top
"D3:9","D","D_SOD-123",122.626000,-98.498000,180.000000,top
"D3:10","D","D_SOD-123",103.276000,-96.498000,180.000000,top
"D3:11","D","D_SOD-123",84.276000,-97.498000,180.000000,top
"D3:12","D","D_SOD-123",66.276000,-101.998000,180.000000,top
"D3:13","D","D_SOD-123",41.926000,-101.498000,180.000000,top
"D4:7","D","D_SOD-123",159.276000,-65.498000,180.000000,top
"D4:8","D","D_SOD-123",142.276000,-80.498000,180.000000,top
"D4:9","D","D_SOD-123",122.276000,-79.498000,180.000000,top
"D4:10","D","D_SOD-123",103.926000,-77.498000,180.000000,top
"D4:11","D","D_SOD-123",84.276000,-79.498000,180.000000,top
"D4:12","D","D_SOD-123",66.276000,-82.498000,180.000000,top
"D4:13","D","D_SOD-123",41.926000,-82.498000,180.000000,top
"D5:7","D","D_SOD-123",159.276000,-61.498000,180.000000,top
"D5:8","D","D_SOD-123",142.276000,-61.498000,180.000000,top
"D5:9","D","D_SOD-123",122.276000,-60.498000,180.000000,top
"D5:10","D","D_SOD-123",103.276000,-58.498000,180.000000,top
"D5:11","D","D_SOD-123",84.276000,-60.498000,180.000000,top
"D5:12","D","D_SOD-123",66.276000,-63.498000,180.000000,top
"D5:13","D","D_SOD-123",42.276000,-63.498000,180.000000,top
"LED_A1","LED","LED_0603",76.676000,-36.698000,180.000000,top
"LED_B1","LED","LED_0603",76.676000,-34.198000,180.000000,top
"LED_C1","LED","LED_0603",76.476000,-31.198000,180.000000,top
"R1","22","R_0603",88.776000,-26.998000,0.000000,top
"R2","22","R_0603",89.776000,-28.998000,0.000000,top
"R3","1k","R_0603",72.926000,-36.698000,0.000000,top
"R4","1k","R_0603",72.926000,-34.198000,0.000000,top
"R5","1k","R_0603",72.676000,-31.198000,0.000000,top
"R8","1k","R_0603",61.526000,-28.498000,90.000000,top
"R9","0","R_0603",62.776000,-34.998000,180.000000,top
"R10","0","R_0603",62.776000,-32.998000,180.000000,top
"U1","ATmega32U4-MU","QFN-44-1EP_7x7mm_Pitch0.5mm",56.132250,-33.566750,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4pin_3.2x2.5mm",55.676000,-40.648000,180.000000,top
